"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-123.43","48.65","VICTORIA INTL A","1018621","2022-02-17","2022","02","17","","11.2","","0.0","","5.6","","12.4","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-123.43","48.65","VICTORIA INTL A","1018621","2022-02-18","2022","02","18","","9.3","","0.9","","5.1","","12.9","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-123.43","48.65","VICTORIA INTL A","1018621","2022-02-19","2022","02","19","","11.6","","0.7","","6.2","","11.8","","0.0","","0.0","","0.0","","0.0","","","","22","","48",""
"-123.43","48.65","VICTORIA INTL A","1018621","2022-02-20","2022","02","20","","8.8","","0.4","","4.6","","13.4","","0.0","","0.0","T","0.0","","0.0","T","","","","M","","M"
"-123.43","48.65","VICTORIA INTL A","1018621","2022-02-21","2022","02","21","","6.3","","-0.1","","3.1","","14.9","","0.0","","4.2","","0.0","T","4.2","","","","5","","50",""
"-123.43","48.65","VICTORIA INTL A","1018621","2022-02-22","2022","02","22","","1.8","","-2.2","","-0.2","","18.2","","0.0","","0.0","","0.0","","0.0","","","","4","","55",""
"-123.43","48.65","VICTORIA INTL A","1018621","2022-02-23","2022","02","23","","3.0","","-6.0","","-1.5","","19.5","","0.0","","0.0","","0.0","","0.0","","","","6","","52",""
"-123.43","48.65","VICTORIA INTL A","1018621","2022-02-24","2022","02","24","","4.3","","-2.5","","0.9","","17.1","","0.0","","0.0","","1.0","","2.8","","1","","","M","","M"
"-123.43","48.65","VICTORIA INTL A","1018621","2022-02-25","2022","02","25","","5.8","","-4.8","","0.5","","17.5","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-123.43","48.65","VICTORIA INTL A","1018621","2022-02-26","2022","02","26","","6.5","","-2.6","","2.0","","16.0","","0.0","","6.8","","0.0","","6.8","","","","13","","51",""
"-123.43","48.65","VICTORIA INTL A","1018621","2022-02-27","2022","02","27","","12.4","","5.4","","8.9","","9.1","","0.0","","17.6","","0.0","","17.6","","","","15","","46",""
"-123.43","48.65","VICTORIA INTL A","1018621","2022-02-28","2022","02","28","","9.3","","7.1","","8.2","","9.8","","0.0","","28.5","","0.0","","28.5","","","","14","","41",""
